,name,place,is_mped,longitude,latitude
0,Városföld,village,0,19.76017303281552,46.81634196197728
1,Kecskemét,city,1,19.691720599681855,46.90738826733524
2,Tiszaalpár,village,0,19.98930550385213,46.821961672603585
3,Nyárlőrinc,village,0,19.874093065234195,46.8605243660925
4,Szentkirály,village,0,19.918072425588004,46.918775686762764
5,Lakitelek,village,0,20.0003712210165,46.87363349989499
6,Nagykőrös,town,0,19.786314097414927,47.03742569871304
7,Nyársapát,village,0,19.801682026138,47.101174560072714
8,Kocsér,village,0,19.92255016795323,47.00201219466276
9,Kőröstetétlen,village,0,20.021896292528456,47.09869088057084
10,Tiszasas,village,0,20.07995970940128,46.82111388812091
11,Csépa,village,0,20.13046515063116,46.80624936376152
12,Szelevény,village,0,20.197333314929743,46.80349450147026
13,Tiszaug,village,0,20.057935174591343,46.851686712369215
14,Tiszakürt,village,0,20.12356590958606,46.88490738295104
15,Tiszakécske,town,0,20.10453581894422,46.93152890778797
16,Cserkeszőlő,village,0,20.19509597088312,46.86750231179878
17,Tiszainoka,village,0,20.152248667450355,46.90609860017931
18,Kunszentmárton,town,1,20.290881263503632,46.8399054177204
19,Öcsöd,village,0,20.389702502458352,46.90123411427252
20,Nagyrév,village,0,20.144006085729394,46.94507268173758
21,Cibakháza,village,0,20.206236158384545,46.9590235761585
22,Jászkarajenő,village,0,20.068331557037524,47.05378067650699
23,Tiszajenő,village,0,20.14158332940812,47.0311760943058
24,Tiszavárkony,village,0,20.18106329799836,47.06463207313768
25,Tószeg,village,0,20.147460467322947,47.10057847777469
26,Tiszaföldvár,town,1,20.2541166325227,46.98035409470542
27,Martfű,town,0,20.28139325747276,47.01861528351751
28,Mezőhék,village,0,20.387613290602076,46.995719292490335
29,Vezseny,village,0,20.21991291875374,47.03364908430413
30,Rákócziújfalu,village,0,20.262411316530148,47.06004225921585
31,Rákóczifalva,town,0,20.234336448618613,47.08981929260222
32,Kengyel,village,0,20.342372875252416,47.094627378540345
