href,name,address
/telepules/Aba,Polgármesteri Hivatal Aba,"8127 Aba, Rákóczi u. 12."
/telepules/Ab%e1dszal%f3k,Polgármesteri Hivatal Abádszalók,"5241 Abádszalók, Deák Ferenc út 12."
/telepules/Aba%fajalp%e1r,Polgármesteri Hivatal Abaújkér,"3882 Abaújalpár, Abaújalpár Petőfi S. u. 54."
/telepules/Aba%fajalp%e1r,Polgármesteri Hivatal Abaújkér,"3882 Abaújalpár, Abaújkér Rákóczi utca 26."
/telepules/Aba%fajlak,Polgármesteri Hivatal Gadna,"3815 Abaújlak, Abaújlak Fő utca 82."
/telepules/Aba%fajlak,Polgármesteri Hivatal Gadna,"3815 Abaújlak, Gadna Fő út. 4."
/telepules/Abda,Polgármesteri Hivatal Abda,"9151 Abda, Szent István u. 20."
/telepules/Abod,Polgármesteri Hivatal Abod,"3753 Abod, Abod Magyar út 42."
/telepules/%c1cs,Polgármesteri Hivatal Ács,"2941 Ács, Gyár u. 23."
/telepules/Acs%e1d,Polgármesteri Hivatal Acsád,"9746 Acsád, Béke u. 10."
/telepules/Acsalag,Polgármesteri Hivatal Acsalag,"9168 Acsalag, Fő u. 75."
/telepules/%c1cstesz%e9r,Polgármesteri Hivatal Ácsteszér,"2887 Ácsteszér, Kossuth Lajos u. 45."
/telepules/Ad%e1cs,Polgármesteri Hivatal Adács,"3292 Adács, Szabadság tér 1."
/telepules/%c1d%e1nd,Polgármesteri Hivatal Ádánd,"8653 Ádánd, Kossuth L. u. 50."
/telepules/Ad%e1sztevel,Polgármesteri Hivatal Adásztevel,"8561 Adásztevel, Árpád u. 22"
/telepules/Adony,Polgármesteri Hivatal Adony,"2457 Adony, Bajcsy-Zsilinszky 5."
/telepules/%c1gasegyh%e1za,Polgármesteri Hivatal Ágasegyháza,"6076 Ágasegyháza, Szent I tér 1"
/telepules/%c1gfalva,Polgármesteri Hivatal Ágfalva,"9423 Ágfalva, Soproni u. 3."
/telepules/Aggtelek,Polgármesteri Hivatal Aggtelek,"3759 Aggtelek, Aggtelek Kossuth Lajos u. 8."
/telepules/Agyagosszerg%e9ny,Polgármesteri Hivatal Agyagosszergény,"9441 Agyagosszergény, Kossuth u. 16."
/telepules/Ajak,Polgármesteri Hivatal Ajak,"4524 Ajak, Ady Endre u. 25."
/telepules/Ajka,Polgármesteri Hivatal Ajka,"8400 Ajka, Szabadság tér 12."
/telepules/Aka,Polgármesteri Hivatal Aka,"2862 Aka, Kossuth u. 39."
/telepules/Akaszt%f3,Polgármesteri Hivatal Akasztó,"6221 Akasztó, Fő utca 40."
/telepules/Alacska,Polgármesteri Hivatal Alacska,"3779 Alacska, Alacska Dózsa Gy. u. 7."
/telepules/Alap,Polgármesteri Hivatal Alap,"7011 Alap, Dózsa György u. 31."
/telepules/Alatty%e1n,Polgármesteri Hivatal Alattyán,"5142 Alattyán, Szent István tér 1."
/telepules/Alcs%fatdoboz,Polgármesteri Hivatal Alcsútdoboz,"8087 Alcsútdoboz, József Attila u. 5."
/telepules/Aldebr%f5,Polgármesteri Hivatal Aldebrő,"3353 Aldebrő, Arany J. út 1."
/telepules/Algy%f5,Polgármesteri Hivatal Algyő,"6750 Algyő, Kastélykert u. 40."
/telepules/Almamell%e9k,Polgármesteri Hivatal Almamellék,"7934 Almamellék, Kossuth L. u. 19."
/telepules/Alm%e1skamar%e1s,Polgármesteri Hivatal Almáskamarás,"5747 Almáskamarás, Dózsa György u. 54."
/telepules/%c1lmosd,Polgármesteri Hivatal Álmosd,"4285 Álmosd, Fő u. 10."
/telepules/Als%f3dobsza,Polgármesteri Hivatal Alsódobsza,"3717 Alsódobsza, Alsódobsza Rákóczi út 44."
/telepules/Als%f3mocsol%e1d,Polgármesteri Hivatal Alsómocsolád,"7345 Alsómocsolád, Rákóczi u. 21."
/telepules/Als%f3n%e1na,Polgármesteri Hivatal Alsónána,"7147 Alsónána, Kossuth L. u. 27."
/telepules/Als%f3nemesap%e1ti,Polgármesteri Hivatal Alsónemesapáti,"8924 Alsónemesapáti, Alsónemesapáti Petőfi S.u.1."
/telepules/Als%f3ny%e9k,Polgármesteri Hivatal Alsónyék,"7148 Alsónyék, Fő u. 1."
/telepules/Als%f3p%e1hok,Polgármesteri Hivatal Alsópáhok,"8394 Alsópáhok, Alsópáhok Fő u.65."
/telepules/Als%f3pet%e9ny,Polgármesteri Hivatal Alsópetény,"2617 Alsópetény, Petőfi út 24."
/telepules/Als%f3szentiv%e1n,Polgármesteri Hivatal Alsószentiván,"7012 Alsószentiván, Béke u. 56/a."
/telepules/Als%f3szentm%e1rton,Polgármesteri Hivatal Alsószentmárton,"7826 Alsószentmárton, Táncsics M. utca 20/C"
/telepules/Als%f3told,Polgármesteri Hivatal Alsótold,"3069 Alsótold, Szabadság út 6."
/telepules/Als%f3%fajlak,Polgármesteri Hivatal Alsóújlak,"9842 Alsóújlak, Csurgó u. 15/a."
/telepules/Als%f3vad%e1sz,Polgármesteri Hivatal Alsóvadász,"3811 Alsóvadász, Alsóvadász Fő út 63."
/telepules/Als%f3zsolca,Polgármesteri Hivatal Alsózsolca,"3571 Alsózsolca, Alsózsolca Kossuth L. u. 138."
/telepules/Als%f3%f6rs,Polgármesteri Hivatal Alsóörs,"8226 Alsóörs, Ady Endre u. 7."
/telepules/Ambr%f3zfalva,Polgármesteri Hivatal Ambrózfalva,"6916 Ambrózfalva, Dózsa György u. 1."
/telepules/Anarcs,Polgármesteri Hivatal Anarcs,"4546 Anarcs, Kossuth u. 30."
/telepules/Andocs,Polgármesteri Hivatal Andocs,"8675 Andocs, Szabadság tér 1."
/telepules/Andornakt%e1lya,Polgármesteri Hivatal Andornaktálya,"3399 Andornaktálya, Rákóczi út 160."
/telepules/Andr%e1sfa,Polgármesteri Hivatal Andrásfa,"9811 Andrásfa, Petőfi u. 3."
/telepules/Annav%f6lgy,Polgármesteri Hivatal Annavölgy,"2529 Annavölgy, Községháza köz 2."
/telepules/Apagy,Polgármesteri Hivatal Apagy,"4553 Apagy, Kossuth u. 145."
/telepules/Ap%e1tfalva,Polgármesteri Hivatal Apátfalva,"6931 Apátfalva, Templom u. 69."
/telepules/Apc,Polgármesteri Hivatal Apc,"3032 Apc, Erzsébet tér 1."
/telepules/Apostag,Polgármesteri Hivatal Apostag,"6088 Apostag, Kossuth Lajos u. 1."
/telepules/Aranyosap%e1ti,Polgármesteri Hivatal Aranyosapáti,"4634 Aranyosapáti, Kossuth u. 43."
/telepules/Arka,Polgármesteri Hivatal Boldogkőváralja,"3885 Arka, Arka Hunyadi utca 29."
/telepules/Arka,Polgármesteri Hivatal Boldogkőváralja,"3885 Arka, Boldogkőváralja Petőfi utca 28."
/telepules/Arka,Polgármesteri Hivatal Boldogkőváralja,"3885 Arka, Hernádbűd Rákóczi út 58."
/telepules/Arka,Polgármesteri Hivatal Boldogkőváralja,"3885 Arka, Pere Rákóczi út 1."
/telepules/Arl%f3,Polgármesteri Hivatal Arló,"3663 Arló, Arló Ady E. utca 162."
/telepules/Arn%f3t,Polgármesteri Hivatal Arnót,"3713 Arnót, Arnót Petőfi utca 120."
/telepules/%c1rokt%f5,Polgármesteri Hivatal Ároktő,"3467 Ároktő, Ároktő Széchenyi u. 75."
/telepules/%c1rp%e1dhalom,Polgármesteri Hivatal Árpádhalom,"6623 Árpádhalom, Petőfi u. 17."
/telepules/%c1rp%e1s,Polgármesteri Hivatal Árpás,"9132 Árpás, Kápolna tér 8."
/telepules/%c1rt%e1nd,Polgármesteri Hivatal Ártánd,"4115 Ártánd, Rákóczi u. 28."
/telepules/%c1sotthalom,Polgármesteri Hivatal Ásotthalom,"6783 Ásotthalom, Szent István tér 1."
/telepules/%c1sv%e1nyr%e1r%f3,Polgármesteri Hivatal Ásványráró,"9177 Ásványráró, Rákóczi u. 14."
/telepules/Aszal%f3,Polgármesteri Hivatal Aszaló,"3841 Aszaló, Aszaló Rákóczi út 87."
/telepules/%c1sz%e1r,Polgármesteri Hivatal Kisbér (Ászár),"2881 Ászár, Kossuth L. u. 16."
/telepules/Asz%f3f%f5,Polgármesteri Hivatal Aszófő,"8241 Aszófő, Árpád u. 7."
/telepules/%c1t%e1ny,Polgármesteri Hivatal Átány,"3371 Átány, II. Rákóczi F. út 60."
/telepules/Atk%e1r,Polgármesteri Hivatal Atkár,"3213 Atkár, Fő út 70."
/telepules/Attala,Polgármesteri Hivatal Attala,"7252 Attala, Kossuth L. u. 15."
/telepules/B%e1bolna,Polgármesteri Hivatal Bábolna,"2943 Bábolna, Jókai u. 12."
/telepules/B%e1bonymegyer,Polgármesteri Hivatal Bábonymegyer,"8658 Bábonymegyer, Dózsa Gy. u. 50."
/telepules/Bab%f3t,Polgármesteri Hivatal Babót,"9351 Babót, Ady Endre u. 3."
/telepules/B%e1csalm%e1s,Polgármesteri Hivatal Bácsalmás,"6430 Bácsalmás, Gróf Teleki J. utca 4-8"
/telepules/B%e1csbokod,Polgármesteri Hivatal Bácsbokod,"6453 Bácsbokod, Gróf Széchenyi István utca 80."
/telepules/B%e1csbors%f3d,Polgármesteri Hivatal Bácsborsód,"6454 Bácsborsód, Petőfi utca 3."
/telepules/B%e1csszentgy%f6rgy,Polgármesteri Hivatal Bácsszentgyörgy,"6511 Bácsszentgyörgy, Kossuth u.15."
/telepules/B%e1cssz%f5l%f5s,Polgármesteri Hivatal Bácsszőlős,"6425 Bácsszőlős, Kossuth L.u.16."
/telepules/Badacsonytomaj,Polgármesteri Hivatal Badacsonytomaj,"8258 Badacsonytomaj, Fő utca 2."
/telepules/Badacsonyt%f6rdemic,Polgármesteri Hivatal Badacsonytördemic,"8263 Badacsonytördemic, Hősök útja 12."
/telepules/Bagam%e9r,Polgármesteri Hivatal Bagamér,"4286 Bagamér, Kossuth u. 7."
/telepules/B%e1gyogszov%e1t,Polgármesteri Hivatal Bágyogszovát,"9145 Bágyogszovát, József A. u. 1."
/telepules/Baj,Polgármesteri Hivatal Baj,"2836 Baj, Petőfi u. 50."
/telepules/Baja,Polgármesteri Hivatal Baja,"6500 Baja, Szentháromság tér 1."
/telepules/Bajna,Polgármesteri Hivatal Bajna,"2525 Bajna, Kossuth u. 1."
/telepules/Baj%f3t,Polgármesteri Hivatal Bajót,"2533 Bajót, Kossuth u. 69."
/telepules/Bak,Polgármesteri Hivatal Bak,"8945 Bak, Bak Rákóczi u. 2/A."
/telepules/Bakh%e1za,Polgármesteri Hivatal Háromfa,"7585 Bakháza, Háromfa Kossuth u. 235."
/telepules/Bakh%e1za,Polgármesteri Hivatal Háromfa,"7585 Bakháza, Kossuth L. u. 235."
/telepules/Bakonszeg,Polgármesteri Hivatal Bakonszeg,"4164 Bakonszeg, Hunyadi u. 24."
/telepules/Bakonyb%e1nk,Polgármesteri Hivatal Bakonybánk,"2885 Bakonybánk, Kossuth u. 27."
/telepules/Bakonyb%e9l,Polgármesteri Hivatal Bakonybél,"8427 Bakonybél, Jókai Mór u. 2"
/telepules/Bakonycsernye,Polgármesteri Hivatal Bakonycsernye,"8056 Bakonycsernye, Rákóczi u. 83."
/telepules/Bakonygyir%f3t,Polgármesteri Hivatal Bakonygyirót,"8433 Bakonygyirót, Rákóczi u. 6."
/telepules/Bakonyj%e1k%f3,Polgármesteri Hivatal Bakonyjákó,"8581 Bakonyjákó, Rákóczi tér 9."
/telepules/Bakonyj%e1k%f3,Polgármesteri Hivatal Bakonyjákó,"8581 Bakonyjákó, Kossuth L. u. 56."
/telepules/Bakonykopp%e1ny,Polgármesteri Hivatal Bakonykoppány,"8571 Bakonykoppány, Petőfi u. 24."
/telepules/Bakonyk%fati,,"8046 Bakonykúti, Szabadság u. 41."
/telepules/Bakonyn%e1na,Polgármesteri Hivatal Bakonynána,"8422 Bakonynána, Alkotmány u. 31."
/telepules/Bakonyoszlop,Polgármesteri Hivatal Bakonyoszlop,"8418 Bakonyoszlop, Kossuth Lajos u. 32."
/telepules/Bakonyp%e9terd,Polgármesteri Hivatal Bakonypéterd,"9088 Bakonypéterd, Kossuth L. u. 62."
/telepules/Bakonyp%f6l%f6ske,Polgármesteri Hivatal Bakonypölöske,"8457 Bakonypölöske, Petőfi u.87."
/telepules/Bakonys%e1g,Polgármesteri Hivatal Bakonyszentiván,"8557 Bakonyság, Béke u. 14."
/telepules/Bakonys%e1g,Polgármesteri Hivatal Bakonyszentiván,"8557 Bakonyság, Rákóczi F. u. 37."
